transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale,payment_method,customer_segment,city
180,2022-11-05,10:47:00,117,Male,41.0,Clothing,3.0,300.0,129.0,900.0,Cash,VIP,Pune
522,2022-07-09,11:00:00,52,Male,46.0,Beauty,3.0,500.0,145.0,1500.0,Credit Card,Regular,Bangalore
559,2022-12-12,10:48:00,5,Female,40.0,Clothing,4.0,300.0,84.0,1200.0,Net Banking,VIP,Ahmedabad
1180,2022-01-06,08:53:00,85,Male,41.0,Clothing,3.0,300.0,129.0,900.0,Debit Card,Regular,Bangalore
1522,2022-11-14,08:35:00,48,Male,46.0,Beauty,3.0,500.0,235.0,1500.0,Debit Card,VIP,Pune
1559,2022-08-20,07:40:00,49,Female,40.0,Clothing,4.0,300.0,144.0,1200.0,Cash,New,Bangalore
163,2022-10-31,09:38:00,144,Female,64.0,Clothing,3.0,50.0,23.0,150.0,Cash,Regular,Chennai
303,2022-04-22,11:09:00,54,Male,19.0,Electronics,3.0,30.0,14.7,90.0,UPI,VIP,Delhi
421,2022-04-08,08:43:00,66,Female,37.0,Clothing,3.0,500.0,235.0,1500.0,Net Banking,New,Kolkata
979,2022-05-18,10:18:00,6,Female,19.0,Beauty,1.0,25.0,10.5,25.0,Debit Card,Regular,Ahmedabad
1163,2022-05-04,10:52:00,120,Female,64.0,Clothing,3.0,50.0,27.0,150.0,Net Banking,VIP,Chennai
1303,2022-03-19,08:59:00,58,Male,19.0,Electronics,3.0,30.0,15.0,90.0,Debit Card,VIP,Hyderabad
1421,2022-01-17,07:07:00,59,Female,37.0,Clothing,3.0,500.0,185.0,1500.0,Credit Card,New,Pune
1979,2022-08-17,11:34:00,102,Female,19.0,Beauty,1.0,25.0,7.75,25.0,Cash,VIP,Ahmedabad
610,2022-12-18,06:56:00,137,Female,26.0,Beauty,2.0,300.0,93.0,600.0,Debit Card,VIP,Pune
1610,2022-11-23,10:18:00,1,Female,26.0,Beauty,2.0,300.0,102.0,600.0,Debit Card,VIP,Bangalore
